hotel_name,hotel_address,price_range,country_name,city_name,hotel_rating,hotel_review
Horizon Deluxe Lodge,"33/7, Pipe Line Road,Near Karantaka Bank And Behind RTO Office,Yeshwanthpur, Bengaluru - 560022 View on Map",,India,Bengaluru,2.5/5,1 Horrible
Avadh INN,"2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS - 226010 View on Map",,India,Lucknow,3.7/5,"Though i had reserved the rooms well in advance, there were no rooms available when i got there. The hotel staff/receptionist told me that the rooms were full and they could get us accommodation in another place. When i disagreed, they insisted me to look for another hotel. The hotel staff were rude and got into an argument with my driver as well.
I would not recommend this hotel to anybody."
Camp Thrillofun- Sandpiper,"Opp Madhuban Ashram, Dehradun - 249201 View on Map",,India,Rishikesh,,
Ramdiri Residency,"Harmu Bazar, Harmu Housing Colony,Near Panch Mandir road, Ranchi - 834002 View on Map",,India,Ranchi,3.1/5,Bed Is to dirty and pillow is also dirty i have attached pic of both. Dead cockroach on bed Rat potty is also in bed Towel is so black and dirty i think never wash from a years.. Service is so poor and the staff is not reponding for anything so i have never seen dirty hotel in my life.
Hotel Dwaraka Residency,"Annapurna Bhavan, Wagle Indl. Estate road, 16th, main road Thane West Maharastra - 400604 View on Map",,India,Thane,3.4/5,"Parking available, nice food quality, good location"
Hotel Central,"New Road, Shastri Nagar, Ratlam, 457001 View on Map",,India,Ratlam,2.4/5,Stay is good. Visit Once. Little Improvement required.
Sun N Moon,"Palolem Hi-street, Palolem, Canacona - Goa. - 403702 View on Map",,India,Goa,4.1/5,"Good staff, neat and tidy rooms, walkable distance from the beach.
Looks like a home stay rather than a hotel. Price too high for something of this kind."
Hotel Shiwalik (HPTDC Government Hotel),"Sector, Near HP Entry Toll Tax Barrier, Parwanoo (HP) - 173220 View on Map",,India,Parwanoo,3.7/5,"great property ,nice ambience ,nice food, good staff"
Hotel New Samrat,"hamalwadi, behind RTO, near railway station, Aurangabad - 431005 View on Map",,India,"Aurangabad, Maharashtra",3.4/5,very third class hotel. I was never saw this type  hotel. do not go any costomer.
Arabian Nights Houseboats,"Dal Lake Ghat, Dal Lake Area, Srinagar - 190001 View on Map",,India,Srinagar,,
Kartik Inns Hospitality,"Plot no 104 Sector-28 near DPS school on golf course road,Gurgaon - 122002 View on Map",,India,Gurgaon,3.1/5,gud services
Summer Green Guest House,"Canara Bank building west branch ,opposite maitree ITI junction ,college road, Madikeri, Coorg - 571201 View on Map",,India,Coorg,4.3/5,"Great location , really pleasant and clean rooms. but the thing that makes this such a good place to stay is the host. Mr and Mrs. Dinesh were really helpful and they served tasty breakfast for two days we stayed. They really maintain it well. Thanks so much for making our trip a good one. Will definitely visit you soon again and thanks for getting me those two plants."
Hotel Uppal Plaza,"248 Ganga Vihar Colony, Haridwar Road, Rishikesh, 249201 View on Map",,India,Rishikesh,3/58 ,"5 star.
Its very good hotel... Value for money
5 star.
Its very good hotel... Value for money
Good location easy to reach
Nice staff
Rooms are also good
Totally all over here is a very good experience "
Hotel Welcome,"9/1,New Colony,Near Panch Batti,M I Road, Jaipur - 302001 View on Map",,,,3.9/5,Service staffs are very friendly.
Avisa Nila Beach Resort,"115/1, Keluskarwadi, Deobag, Malwan - 416606 View on Map",,India,Malvan,4.2/5,"About Resort: We had a great time at Avisa Nila Resort during our vacation to Devbag-Tarkarli. The location of resort is close to Devbag Sangam point and has easy access to a clean beach. We stayed in the glass cottage which were clean and well maintained.
About Restaurant (Chimney): The view from the first floor of restaurant is awesome. The food quality was good but make sure you order the food 30-40mins before you plan to take lunch/dinner as it takes time to serve it.
Staff: The st ...more"
Hotel Vakna,"Village Vakna ghat Teh Kandaghat, NH-22, shimla road, 173215 View on Map",,,,2.4/5,Not bad it's good
Sri Nidhi Estate Stay,"Beligiri Road, Mekeri Village, Coorg - 571201 View on Map",,India,Coorg,3.4/5,nice stay.. homely food.. nice staffs.. nice location.. overall good experience..
